component,alarm_id,alarm_name,severity,alarm_type,raise_or_clear,mnemonic_code,trap_oid,match_trap_name,description,impact_on_system,possible_causes,procedure,parameters
dc,0x00F104C7,hwSrPolicyCandiPathDown,Major,communicationsAlarm,Raise,hwSrPolicyCandiPathDown,1.3.6.1.4.1.2011.5.25.359.2.10,hwSrPolicyCandipathDownClear,"The SR Policy's candidate path went down. (hwSrPolicyEndpoint=[SrPolicyEndpoint],hwSrPolicyColor=[SrPolicyColor],hwProtocolOrigin=[ProtocolOrigin],hwNodeAddress=[NodeAddress],hwASN=[ASN],hwDiscriminator=[Discriminator],hwPreference=[Preference],hwCandipathDownReason=[DownReason]) The candidate path of the SR Policy went Down.",Traffic is switched to another tunnel or fails to be forwarded.,Cause 1: BFD went Down. Cause 2: The candidate path became invalid.,Cause 1: BFD went Down. Check the cause of the BFD Down event. Cause 2: The candidate path became invalid. 1. Check the link. 2. Configure a valid segment list for the candidate path.,SrPolicyEndpoint::Destination address | SrPolicyColor::Color | ProtocolOrigin::Protocol source | NodeAddress::Node addresses | ASN::AS number | Discriminator::Discriminator | Preference::Priority | DownReason::Cause of the down event
dc,0x09AF0003,hwClockSourceFreqCheckResume,Warning,equipmentAlarm,Clear,hwClockSourceFreqCheck,1.3.6.1.4.1.2011.5.25.186.1.8.13,hwClockSourceFreqCheck,"The check of frequence normal notification. (hwClockSrcCfgChassisIndex=[hwClockSrcCfgChassisIndex], hwClockSrcCfgSourceTypeIndex=[hwClockSrcCfgSourceTypeIndex], hwClockSrcCfgSourceIndex=[hwClockSrcCfgSourceIndex], hwClockChassisId=[hwClockChassisId], hwClockSrcCfgFreqCheckResult=[hwClockSrcCfgFreqCheckResult], hwClockSrcCfgSourceDescr=[hwClockSrcCfgSourceDescr]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,The frequency offset value of the tracking source changes from above 9.2 ppm to below 8.7 ppm.,,"hwClockSrcCfgChassisIndex::Index of the chassis where the non-PTP clock source is located. In the case of a single chassis, the value is always 1. The chassis index of a PTP source is invalid. | hwClockSrcCfgSourceTypeIndex::Index of the clock source type. The values are as follows: bits(1) ptp(2) interface(3) cesacr(4) | hwClockSrcCfgSourceIndex::Index of the clock source. | hwClockChassisId::Chassis ID. | hwClockSrcCfgFreqCheckResult::Frequency offset detection result. The values are as follows: abnormal(0). normal(1). | hwClockSrcCfgSourceDescr::Description of the clock source."
dc,0x00F10013,hwCGNNoPatAddrGroupThresholdAlarm,Warning,communicationsAlarm,Raise,hwCGNNoPatAddrGroupThresholdAlarm,1.3.6.1.4.1.2011.5.25.240.2.30,hwCGNNoPatAddrGroupThresholdResumeAlarm,"The number of IP addresses allocated from the no-pat public network address pool reached the threshold. (AddrGroupName=[AddrGroupName], InstanceType=[InstanceType], InstanceName=[InstanceName], Pre-IPNum=[IPNum], Threshold=[Threshold], Slot=[Slot], Cpu=[Cpu]) The number of used no-PAT address pools in the NAT instance reached the threshold. In VS mode, this trap is supported only by the admin VS.","When the alarm is just generated, services are not affected. If more users go online and the maximum number of addresses of the public address pool is reached, the users fail to go online.",The proportion of used IP addresses to all IP addresses in a specified no-PAT address pool reached a specified threshold.,"1. Reduce the number of used IP addresses so that the number of idle IP addresses in the address pool falls below 7/8 of the threshold. If the alarm persists, go to step 2. 2. Collect alarm, log, and configuration information, and contact technical support personnel.",AddrGroupName::Name of an address pool. | InstanceType::Instance type. | InstanceName::Instance name. | IPNum::Number of IP addresses. | Threshold::Threshold for the usage of IP addresses in a no-PAT public address pool. | Slot::Slot ID of a service board. | Cpu::CPU ID of a service board.
dc,0x00F103BA,hwBgpPeerAddrFamilyPerRouteExceed,Major,communicationsAlarm,Raise,hwBgpPeerAddrFamilyPerRouteExceed,1.3.6.1.4.1.2011.5.25.177.1.3.35,bgpPeerAfPerRouteExceedClear,"The routes number of the specified type received from peers in a BGP address family reached the maximum value. (Address Family=[AddressFamily], RouteType=[RouteType], MaxRouteNumber=[RouteLimitNum], BGP instance name=[InstanceName]) The routes number of the specified type received from peers in a BGP address family reached the maximum value.","The routes number of the specified type received from peers in the address family has reached the specification, and no more new routes of specified type can be received.",The routes number of the specified type received from peers in a BGP address family reached the maximum value.,,"AddressFamily::Address family. | RouteType::Route type. | RouteLimitNum::The maximum route number. | InstanceName::BGP instance name. ""-"" indicates the default BGP instance, and other values indicate multiple instances."
dc,0x00F1045D,hwDhcpSnpBindTblExhaust,Major,qualityOfServiceAlarm,Raise,DHCP_SNOOPING_EXHAUST,1.3.6.1.4.1.2011.5.25.112.2.42,hwDhcpSnpBindTblExhaustResume,The number of DHCP Snooping binding entries reached the upper limit. (Max number=[MaxNumber]) The number of DHCP snooping binding entries reached the upper limit.,No binding entry can be generated for a new access user.,The number of DHCP snooping binding entries reaches the upper limit.,1. Deploy new devices to share user access traffic. 2. End.,MaxNumber::Maximum number of DHCP snooping binding entries.
dc,0x00F100C9,hwMultiServiceOnOneCardAlarm,Warning,qualityOfServiceAlarm,Raise,hwMultiServiceOnOneCardAlarm,1.3.6.1.4.1.2011.5.25.157.2.217,hwMultiServiceOnOneCardAlarmResume,"Packet loss may occur if multiple services are configured on the same subcard and the PPP interface's MTU is greater than 1356 bytes. (ChassisNo=[ChassisNo], SlotId=[SlotId], CardId=[CardId]) Packet loss may occur if multiple services are configured on the same subcard and the PPP interface's MTU is greater than 1356 bytes. In VS mode, this trap is supported only by the admin VS.",There is a low probability that some PPP packets larger than 1356 bytes are dropped.,"PPP services are configured and the MTU is greater than 1356 bytes on the same subcard. ATM, IMA, or TDM is also configured on the subcard. After the board received data packets greater than 1356 bytes, it dropped some packets.",,ChassisNo::Chassis ID of the device. | SlotId::Slot ID of a board. | CardId::Subcard ID of a board.
dc,0x00F1053E,hwBgpMultiVpnRouteLabelNumReachMaximum,Major,qualityOfServiceAlarm,Raise,hwBgpMuliVpnRouteLabelNumReachMaximum,1.3.6.1.4.1.2011.5.25.177.1.3.54,hwBgpMultiVpnRouteLabelNumReachMaximumClear,"The number of vpn route labels reached the maximum value. (BGP instance name=[InstanceName], Afi=[AddrFamilyAfi], Safi=[AddrFamilySafi], MaxValue=[MaxValue]) The number of VPN route labels reached the upper limit.","New VPN routes cannot obtain labels, and corresponding services fail to go up.",The number of VPN route labels reached the upper limit.,"1. Run the display paf | include PRIVATE_LSP_NUM command to check the maximum value set for VPN route labels. 2. Run the display gresm resource statistics command to check the current number of VPN route labels. 3. Delete redundant VPN routes or modify the label allocation mode. Then, check whether the alarm persists. If the alarm persists, go to step 4. If the alarm is cleared, go to step 5.","InstanceName::BGP instance name. ""-"" indicates the default BGP instance, and other values indicate multi-instance. | AddrFamilyAfi::Address Family | AddrFamilySafi::Sub-address family | MaxValue::VPN route label limit number"
dc,0x00F1016D,OSPFV3_3RD_ROUTE_BE_DEL_BY_PURGE_EXACT,Critical,qualityOfServiceAlarm,Clear,ospfv3ThirdPartRouteBeDeletedByPurgeExact,1.3.6.1.4.1.2011.5.25.147.0.35,hwOspfv3ThirdPartRouteBeDeletedByPurgeExact,"OSPFv3 routes advertised by another device were not deleted. (SysProcessId=[hwOspfv3ProcessId], HostName=[hwOspfv3PurgeHostName], HostIpAddress=[hwOspfv3PurgeIpAddress], RouterID=[hwOspfv3PurgeRouterId], Area=[hwOspfv3AreaIdIndex])","The system is not affected. In the alarm, the value of FlushLsaNum may be 0. The interval at which the alarm is cleared and the interval at which the value of FlushLsaNum on the faulty node is cleared are both 3600s. There may be a short period (5 minutes at most) during which the value of FlushLsaNum on the faulty node is cleared but the alarm still persists. This is a normal situation.",The local device did not receive a flush LSA from a neighbor indicating that the OSPFv3 LSAs advertised by a third device were flushed.,,hwOspfv3ProcessId::Process ID on the faulty node | hwOspfv3PurgeHostName::Hostname of the faulty node | hwOspfv3PurgeIpAddress::Host IP address of the faulty node | hwOspfv3PurgeRouterId::Router ID in the process | hwOspfv3AreaIdIndex::OSPFv3 area ID
dc,0x00F10532,hwGlobalAllocatedPrefixLimitReachAlarm,Minor,qualityOfServiceAlarm,Raise,GLOBAL_PREFIX_REACH_LIMIT,1.3.6.1.4.1.2011.5.7.4.2.9,hwGlobalAllocatedPrefixLimitResumeAlarm,"The number of globally assigned IPv6 prefixes reached the limit. (LimitValue=[LimitValue]) The number of assigned IPv6 prefixes on the device reached the upper limit. In VS mode, this trap is supported only by the admin VS.",New DHCPv6 clients cannot obtain IPv6 prefixes from the DHCPv6 server.,IPv6 prefixes failed to be assigned to new clients because the number of globally assigned IPv6 prefixes reached the limit.,"1. Run the display dhcpv6 pool command to check the status of prefixes in the address pool. If the prefix in use is not used, go to step 2. 2. Run the reset dhcpv6 pool command to change the assigned prefixes to idle prefixes for re-allocation.",LimitValue::Maximum number of IPv6 prefixes that can be assigned globally.
dc,0x080122A3,hwFlexEGrpNegotiationFail,Minor,communicationsAlarm,Clear,hwFlexEGrpNegotiationFail,1.3.6.1.4.1.2011.5.25.157.2.316,hwFlexEGrpNegotiationFail,"FlexE group negotiation fail alarm resume. (GroupIndex=[hwFlexEGroupIndex],GroupName=[hwFlexEGroupName]) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,The fault triggering the alarm was rectified.,,hwFlexEGroupIndex::Index of FlexE group. | hwFlexEGroupName::Name of FlexE Group.
dc,0x00F104B1,hwBierEndBierSIDConflictClear,Major,processingErrorAlarm,Clear,hwBierEndBierSIDConflict,1.3.6.1.4.1.2011.5.25.360.2.4,hwBierEndBierSIDConflict,"The End.BIER SID configuration conflict has been resolved. (AddressFamily=[AddressFamily], SubdomainID=[SubdomainID], ConflictEndBIERSID=[ConflictEndBIERSID], ConflictResolveCause=[ConflictResolveStr])",Services are not affected.,Cause 1: The local End.BIER SID configuration is changed. Cause 2: The remote route is changed.,,AddressFamily::Address family. | SubdomainID::BIER sub-domain. | ConflictEndBIERSID::Conflicting End.BIER SID. | ConflictResolveStr::Alarm clearance cause.
dc,0x00F10499,hwL3ucBoardSrv6SliceResourceNotSufficient,Warning,qualityOfServiceAlarm,Clear,hwL3ucBoardSrv6SliceResourceNotSufficient,1.3.6.1.4.1.2011.5.25.321.23.3,hwL3ucBoardSrv6SliceResourceNotSufficientAlarmOccur,The bandwidth is reduced successfully and the alarm is cleared. (InterfaceName=[InterfaceName]),There is no impact on the system.,The bandwidth is reduced successfully.,,InterfaceName::Interface name
dc,0x00F102B3,hwPtpPortAttrMisMatchResume,Minor,equipmentAlarm,Clear,hwPtpPortAttrMisMatch,1.3.6.1.4.1.2011.5.25.187.5.47,hwPtpPortAttrMisMatch,"PTP attribute mismatching resumed. (ClockChassisId=[ClockChassisId], PtpPortIfIndex=[PtpPortIfIndex], PtpPortName=[PtpPortName], AlarmReason=[AlarmReason]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,Cause0: The attributes of the PTP interfaces on both sides are consistent.,,ClockChassisId::Number of the chassis where the clock source is located. | PtpPortIfIndex::Index of the interface where the clock source is located. | PtpPortName::Name of the interface where the clock source is located. | AlarmReason::Cause of the mismatch between the two ends.
dc,0x00F1FFBD,hwBgpPacketSendFailed,Warning,communicationsAlarm,Raise,hwBgpPacketSendFailed,1.3.6.1.4.1.2011.5.25.177.1.3.60,hwBgpPacketSendFailedClear,"The BGP peer cannot send packets for a long time. (BGP instance=[InstanceName], VPN instance=[VpnInstance], BgpPeerRemoteAddr=[PeerAddress], InterfaceName=[InterfaceName]) BGP fails to send meesages for a long time.","Routes are unreachable, and BGP forwarding services are interrupted.",TCP is blocked,"1. Run the ping command to check whether the IP address of the BGP peer can be pinged. If yes, go to Step 2. If no, go to Step 3. 2. Check whether the CPU usage is too high. The command varies according to the device. If yes, go to Step 5. If no, go to Step 3. 3. Run the display bgp update-peer-group index <index-value> verbose command to check whether messages are accumulated in the update peer-group.","InstanceName::BGP instance name: ""-"" indicates the default BGP instance, and other values indicate multiple instances. | VpnInstance::Name of a VPN instance. | PeerAddress::Peer address. | InterfaceName::Name of the local interface."
dc,0x0C140004,hwXQoSPortQueueAlarm,Warning,processingErrorAlarm,Raise,hwXQoSPortQueueAlarm,1.3.6.1.4.1.2011.5.25.32.4.1.11.13,hwXQoSPortQueueAlarmClear,"The alarm of port-queue occurs, only when the used queue is in excess of the configured length. (InterfaceIndex=[interface-index], Queue=[queue], TrunkIndex=[trunk-index]). The queue depth usage on an interface exceeded the configured value. In VS mode, this trap is supported only by the admin VS.","In congestion scenarios, the forwarding delay is long, and more buffer resources are consumed. As a result, the buffer may be exhausted.",The depth usage of the queue on the interface exceeded the value configured on the interface.,"1. Run the port-queue-alarm buffer command to adjust the alarm threshold for the port queue usage or adjust the traffic volume on the current interface. If the alarm is cleared, go to Step 3. If the alarm persists, go to Step 2. 2. Collect alarm, log, and configuration information, and contact technical support personnel. 3. End.",interface-index::Index of a physical interface. | queue::Queue index. | trunk-index::Index of a trunk interface.
dc,0x00F1058A,isisLocatorPrefixConflict,Major,communicationsAlarm,Raise,isisLocatorPrefixConflict,1.3.6.1.4.1.2011.5.25.24.2.4.41,hwisisLocatorPrefixConflictClear,"A locator prefix conflict was detected between the local device and another device. (SysInstance=[hwisisSysInstance], MtId=[hwisisMtId], Level=[hwisisSysLevelIndex], PrefixAddress=[hwisisIpv6PrefixAddress], PrefixAddressMask=[hwisisIpv6PrefixAddressMask], ConflictSystemId=[hwIsisConflictSystemID], LocalFlexAlgorithm=[hwisisLocalFlexAlgorithm], RemoteFlexAlgorithm=[hwisisRemoteFlexAlgorithm], ConflictHostName=[hwIsisHostName]) Conflicting locator prefixes were detected between the local device and other devices.",The route traffic of the corresponding prefix may not meet the expectation.,The same Locator prefix is configured on different devices.,"1. Run the display isis route-source ipv6 command to check the source of the conflicting locator based on information in the alarm, such as the conflicting prefix and system ID. 2. Check which device is incorrectly configured. If the peer device is incorrectly configured, run the segment-routing ipv6 command on the peer device to enter the SRv6 view and modify the locator configuration. If the local device is incorrectly configured, run the segment-routing ipv6 command on the local device to enter the SRv6 view and modify the locator configuration. 3. End.",hwisisSysInstance::IS-IS process ID | hwisisMtId::IS-IS multi-topology ID. | hwisisSysLevelIndex::IS-IS Level. | hwisisIpv6PrefixAddress::IPv6 prefix address. | hwisisIpv6PrefixAddressMask::Indicates the mask of the IPv6 prefix address. | hwIsisConflictSystemID::Indicates the conflicting IS-IS system ID. | hwisisLocalFlexAlgorithm::Indicats the local flexible algorithm. | hwisisRemoteFlexAlgorithm::Indicates the remote flexible algorithm. | hwIsisHostName::Conflicting dynamic hostname of the IS-IS system.
dc,0x00F1003E,hwMplsLspTotalCountExceedClear,Major,qualityOfServiceAlarm,Clear,hwMplsLspTotalCountExceed,1.3.6.1.4.1.2011.5.25.121.2.1.66,hwMplsLspTotalCountExceed,The lsp count falls from the upper limit. (hwMplsLspProtocol=[LspProtocol]),Services are not affected.,The number of LSPs of hwMplsLspProtocol type fell below 95% of the upper limit.,,LspProtocol::LSP protocol type: 1: MPLS LSP
dc,0x08390007,hwIpv6PrefixThresholdExceed,Warning,qualityOfServiceAlarm,Clear,hwIpv6PrefixThresholdExceed,1.3.6.1.4.1.2011.5.25.145.11.4,hwIpv6PrefixThresholdExceed,"The number of IPv6 prefixes fell below the threshold. (PrefixCount=[PrefixCount], MaxValue=[MaxValue], ThresholdLowerLimit=[ThresholdLowerLimit], ThresholdUpperLimit=[ThresholdUpperLimit])",The alarm of the number of IPv6 route prefixes exceeded the alarm threshold is cleared.,The number of IPv6 prefixes fell below the clear alarm threshold.,"This alarm message is informational only, and no action is required.",PrefixCount::Indicates the number of IPv6 route prefixes in the routing table. | MaxValue::Indicates the maximum number of IPv6 route prefixes supported by the device. | ThresholdLowerLimit::Indicates the lower threshold of IPv6 route prefixes. | ThresholdUpperLimit::Indicates the upper threshold of IPv6 route prefixes.
dc,0x00F1019E,hwVpwsBLabelNotEnough,Major,communicationsAlarm,Raise,hwVpwsBLabelNotEnough,1.3.6.1.4.1.2011.5.25.119.2.2.6,hwVpwsBLabelNotEnoughClear,"The block labels of VPWS are not enough. (VpnName=[VpnName], CeId=[CeId]) VPWS label blocks were insufficient.","The VPWS service is interrupted, and service packets cannot be forwarded.",Block labels are not enough.,"1. Collect alarm information and configuration information, and then contact technical support personnel. 2. End.",VpnName::MPLS L2VPN instance name | CeId::CE ID
dc,0x00F1004A,hwEvpnMacExceed,Minor,qualityOfServiceAlarm,Clear,hwEvpnMacExceed,1.3.6.1.4.1.2011.5.25.145.22.2,hwEvpnMacExceed,"The number of MACs in the EVPN instance fell below the maximum value. (EVPNInstanceName=[EVPNInstanceName], EVPNInstanceMACCount=[EVPNInstanceMACCount], EVPNInstanceMaxMACValue=[EVPNInstanceMaxMACValue])",Services are not affected.,"Some MAC addresses were deleted from the EVPN instance, or network changes caused the MAC address decrease.","This trap message is informational only, and no action is required.",EVPNInstanceName::EVPN instance name | EVPNInstanceMACCount::Number of MAC addresses in the EVPN instance | EVPNInstanceMaxMACValue::Maximum number of MAC addresses allowed by the EVPN instance
dc,0x00F10169,OSPFV3_ROUTE_BE_DEL_BY_PURGE_INEXACT,Major,qualityOfServiceAlarm,Raise,ospfv3RouteBeDeletedByPurgeInexact,1.3.6.1.4.1.2011.5.25.147.0.30,hwOspfv3RouteBeDeletedByPurgeInexactClear,"OSPFv3 routes advertised by the local device were deleted by another device, and the possibly faulty device did not support OSPFv3 flush LSA source trace. Log in to the possibly faulty device. If the device is deleting routes, reset or isolate it from the network. Otherwise, check other devices. Neither of the devices displayed in the display ospfv3 flush-source-trace analysis-info  command output is the faulty device. (SysProcessId=[hwOspfv3ProcessId], HostName=[hwOspfv3PurgeHostName], HostIpAddress=[hwOspfv3PurgeIpAddress], RouterID=[hwOspfv3PurgeRouterId], Area=[hwOspfv3AreaIdIndex], FlushLsaNum=[hwOspfv3FlushLsaNum], AffectedNodeNum=[hwOspfv3AffectedNodeNum], TotalNodeNum=[hwOspfv3TotalNodeNum], RuledOutDeviceNum=[hwOspfv3RuledOutDeviceNum], Interval=[hwOspfv3PurgeStatPeriod]) The OSPFv3 LSAs advertised by the local device were flushed by a remote device, and possibly faulty devices do not support OSPFv3 flush LSA source tracing. In this case, log in to a possibly faulty node and check whether it is flushing LSAs. If it is flushing LSAs, reset or isolate it. If the possibly faulty node is not flushing LSAs, check other possibly faulty nodes. To check the analysis report output by OSPFv3 flush LSA source tracing, run the display ospfv3 flush-source-trace analysis-info command.","Network flapping occurs, which adversely affects network stability and traffic forwarding. In the alarm, the value of FlushLsaNum may be 0. The interval at which the alarm is cleared and the interval at which the value of FlushLsaNum on the faulty node is cleared are both 3600s. There may be a short period (5 minutes at most) during which the value of FlushLsaNum on the faulty node is cleared but the alarm still persists. This is a normal situation.","The OSPFv3 LSAs advertised by the local device were flushed by a remote device, and possibly faulty devices do not support OSPFv3 flush LSA source tracing.","1.  Run the display ospfv3 routing command to check whether any route is deleted. If yes, isolate the device from the network by resetting or isolating the device. 2. Collect alarm and configuration information, and contact technical support personnel. 3. End.",hwOspfv3ProcessId::Process ID on the faulty node | hwOspfv3PurgeHostName::Hostname of the faulty node | hwOspfv3PurgeIpAddress::Host IP address of the faulty node | hwOspfv3PurgeRouterId::Router ID in the process | hwOspfv3AreaIdIndex::OSPFv3 area ID | hwOspfv3FlushLsaNum::Number of times an LSA was flushed | hwOspfv3AffectedNodeNum::Number of affected nodes | hwOspfv3TotalNodeNum::Total number of nodes on the network | hwOspfv3RuledOutDeviceNum::Number of nodes that have been identified as faultless nodes | hwOspfv3PurgeStatPeriod::Statistical period
dc,0x09AC2020,AIS,Warning,communicationsAlarm,Raise,AIS,1.3.6.1.4.1.2011.5.25.136.1.6.30,hwY1731AisDefectAlarmRecovery,"MEP enters AIS defect condition. (MdIndex=[MdIndex], MaIndex=[MaIndex], MdName=[MdName], MaName=[MaName], MepID=[MepId]) A MEP received an AIS PDU and entered the faulty state.",Service instances bound to the MA to which the MEP belongs is unavailable.,The MEP received an AIS PDU carrying an MD level lower than the level of the MD to which the MEP belongs.,"1. Check whether a fault occurs in an MA with the lower MD level. Run the display cfm remote-mep command to view the value of the CFM Status field. If the value of the CFM Status field is Down, an MA fails. Rectify the fault. If the value of the CFM Status field is Up, go to step 3. 2. Collect alarm information and configuration information, and then contact technical support personnel. 3. End.",MdIndex::MD index | MaIndex::MA index | MdName::Name of an MD | MaName::Name of an MA | MepId::MEP ID
dc,0x00F103C3,TWAMP_MEM_TWOWAY_DELAY,Warning,qualityOfServiceAlarm,Clear,hwTwampMemTwoWayDelayExceed,1.3.6.1.4.1.2011.5.25.333.1.4.16,hwTwampMemTwoWayDelayExceed,"The two-way delay of the TWAMP test instance was under the lower threshold in three consecutive test intervals.  (Test SessionId=[sessionId], MemberId=[memberId], MemberName=[memberName], Value=[Value], UpperLimitThreshold=[UpperLimitThreshold], LowerLimitThreshold=[LowerLimitThreshold], Sender IP=[sender-address], Reflector IP=[reflector-address], Sender Port=[sender-port], Reflector Port=[reflector-port], VPN Instance=[vpn-name])",Services will not be affected.,The two-way delay of a TWAMP test instance was below the threshold in three consecutive measurement periods.,,sessionId::TWAMP Light test session ID. | memberId::TWAMP Light test session member ID. | memberName::TWAMP Light test session member name. | Value::Delay value. | UpperLimitThreshold::The Delay trigger-alarm threshold value. | LowerLimitThreshold::The clear-alarm Delay threshold value. | sender-address::IP address of the sender. | reflector-address::IP address of the reflector. | sender-port::Port number of the sender. | reflector-port::Port number of the reflector. | vpn-name::VPN instance name.
dc,0x00F1FF6E,hwMflpBdEvplBlock,Warning,communicationsAlarm,Raise,hwMflpBdEvplBlock,1.3.6.1.4.1.2011.5.25.160.3.34,hwMflpBdEvplResume,"The EVPL turned to block state. (BD=[bdid], EvplId=[evplid], BlockTime=[blocktime], BlockReason=[blockreason], DetectMAC=[mac]) The EVPL was blocked.",EVPL traffic fails to be forwarded in the BD.,"Cause 1: The EVPL has been blocked for BD loop, and the EVPL has already been permanently blocked. Cause 2: The EVPL has been blocked for BD loop, and the loop has already been punished times times.","Cause 1: The EVPL has been blocked for BD loop, and the EVPL has already been permanently blocked. 1. Log in to the device and run the reset loop-detect eth-loop bridge-domain <bd-id> { all | evpl <instance-value> } command to restore the EVPL service. Then, check whether the hwMflpBdEvplResume alarm is received. If the alarm is not received, go to Step 2. 2. Collect alarm and configuration information, and contact technical support personnel. Cause 2: The EVPL has been blocked for BD loop, and the loop has already been punished times times. 1. A loop occurs in the BD. The EVPL service is temporarily blocked to eliminate the loop. The blocked EVPL service automatically recovers within the blocking time configured using the loop-detect eth-loop command. If the fault persists, go to Step 2. 2. Collect alarm and configuration information, and contact technical support personnel.",bdid::BD ID. | evplid::EVPL instance ID. | blocktime::Blocking time. | blockreason::Blocking cause. | mac::Detected MAC address.
dc,0x00F1014D,isisThirdPartRouteBeDeletedByPurgeExact,Critical,communicationsAlarm,Raise,isisThirdPartRouteBeDeletedByPurgeExact,1.3.6.1.4.1.2011.5.25.24.2.4.27,hwIsisThirdPartRouteBeDeletedByPurgeExactClear,"IS-IS routes advertised by another device were deleted. Reset or isolate the faulty device from the network. (SysInstance=[isisSysInstance], HostName=[hwIsisHostName], HostIpAddress=[hwIsisHostIpAddress], SystemID=[isisPduLspId], SysLevel=[isisSysLevelIndex], PurgeLspNum=[hwIsisPurgeLspNum], AffectedNodeNum=[hwIsisAffectedNodeNum], TotalNodeNum=[hwIsisTotalNodeNum], Interval=[hwIsisInterval]) The local device received a purge LSP from a neighbor indicating that the neighbor had purged the IS-IS LSPs advertised by a third device. All the three devices support IS-IS purge LSP source tracing. In this case, reset or isolate the faulty node from the network.","Network flapping may occur, affecting traffic forwarding.",IS-IS routes advertised by another device were not deleted.,"1. Run the display isis route command to check whether any route is deleted. If yes, isolate the device from the network by resetting or isolating the device. 2. Collect alarm and configuration information, and contact technical support personnel. 3. End.",isisSysInstance::Specifies a process ID. | hwIsisHostName::Hostname of the faulty node | hwIsisHostIpAddress::IP address of the faulty node | isisPduLspId::System ID of the faulty node | isisSysLevelIndex::IS-IS level of the faulty node | hwIsisPurgeLspNum::Purge LSP count | hwIsisAffectedNodeNum::Number of affected nodes | hwIsisTotalNodeNum::Total number of nodes on the network | hwIsisInterval::Statistical period
dc,0x00F101F9,hwXQoSRedirectNextHopInvalidAlarm,Warning,qualityOfServiceAlarm,Clear,hwXQoSRedirectNextHopInvalidAlarm,1.3.6.1.4.1.2011.5.25.32.4.1.11.66,hwXQoSRedirectNextHopInvalidAlarm,"The redirect nexthop address matches the network segment of the outbound interface or the redirect configuration has been cleared. (Behavior=[behavior-name], RdrType=[redirect], Interface Name=[interface-name])",There is no impact on the system.,The redirect nexthop address matches the network segment of the outbound interface or the redirect configuration has been cleared.,,"behavior-name::Traffic behavior. | redirect::Redirection type. (0: IPv4, 1: IPv6, 2: IPv4-to-IPv6) | interface-name::Name of the interface."
dc,0x00010080,hwL2vpnOamSd2Far,Minor,communicationsAlarm,Clear,hwL2vpnOamSd2Far,1.3.6.1.4.1.2011.5.25.119.9.2.38,hwL2vpnOamSd2Far,"The OAM module reported an alarm, indicating that the far-end packet loss ratio dropped below the sd2 threshold. (ServiceType=[ServiceType], ProtocolType=[ProtocolType], VcID=[VcID], VcType=[VcType], PeerAddr=[PeerAddr], IfIndex=[IfIndex], PwMaster=[PwMaster], RmtSiteID=[RmtSiteID], InLabel=[InLabel], OutLabel=[OutLabel], IfName=[IfName], VsiName=[VsiName])",Services will not be affected.,The far-end packet loss ratio fell below the SD2 threshold.,"This trap message is informational only, and no action is required.",ServiceType::Type of the service: 0: VLL. 1: VPLS. | ProtocolType::Type of the protocol: 0: SVC. 1: LDP. 2: BGP (not supported for the time being). | VcID::VC ID. | VcType::VC type. | PeerAddr::IP address of the peer. | IfIndex::Interface index. | PwMaster::PW identifier: 1: primary PW. 2: secondary PW. | RmtSiteID::Remote site ID. | InLabel::VC in-label. | OutLabel::VC out-label. | IfName::Interface name. | VsiName::VSI name.
dc,0x00F10469,hwTrunkBandwidthImbalanceResume,Minor,processingErrorAlarm,Clear,hwTrunkBandWidthAlarm,1.3.6.1.4.1.2011.5.25.41.4.63,hwTrunkBandwidthImbalance,The bandwidth ratio between trunk member interfaces is within the normal range. (trunk=[trunkName]),There is no impact on the system.,The bandwidth difference between trunk member interfaces is within the normal range.,,trunkName::Eth-Trunk interface name
dc,0x00F1FFD5,CFG_BACKUP_FAIL,Major,processingErrorAlarm,Clear,CFG_BACKUP_FAIL,1.3.6.1.4.1.2011.6.10.2.26,hwCfgBackupFailure,Configuration backup succeeds in the system.,There is no impact on the system.,The rollback points on the active and standby main control boards are restored to be consistent.,,
